time="2021-12-04T20:12:48+03:00" level=info msg="logger initialized" func="main.go:32" file="main.main()"
time="2021-12-04T20:12:48+03:00" level=fatal msg=0x5028c0 func="main.go:38" file="main.main()"
time="2021-12-05T23:38:11+03:00" level=fatal msg=0x5068c0 func="main.go:25" file="main.init.0()"
time="2021-12-05T23:38:36+03:00" level=fatal msg=0x5068c0 func="main.go:25" file="main.init.0()"
time="2021-12-05T23:48:16+03:00" level=fatal msg=0x5068c0 func="main.go:25" file="main.init.0()"
time="2021-12-05T23:48:23+03:00" level=fatal msg=0x5068c0 func="main.go:25" file="main.init.0()"
time="2021-12-05T23:48:25+03:00" level=fatal msg=0x5068c0 func="main.go:25" file="main.init.0()"
time="2021-12-05T23:48:31+03:00" level=fatal msg=0x5068c0 func="main.go:25" file="main.init.0()"
time="2021-12-05T23:48:33+03:00" level=fatal msg=0x5068c0 func="main.go:25" file="main.init.0()"
time="2021-12-05T23:48:35+03:00" level=fatal msg=0x5068c0 func="main.go:25" file="main.init.0()"
time="2021-12-05T23:48:36+03:00" level=fatal msg=0x5068c0 func="main.go:25" file="main.init.0()"
time="2022-01-26T00:58:17+03:00" level=fatal msg=0x720ce0 func="main.go:36" file="main.init.0()"
