Designator,Library,Part Name,X,Y,Rotation,Z,Pattern,Head,Slot,NHP,NCP,Nozzle,Turn,TS,MS,PR,MArea,Skip
DD3,Main_Library,1013653,59.75,35.05,180,0,1,7,70022,5,711,240,1,2,1,1000,1,
DD3,Main_Library,1013653,124.25,35.05,180,0,2,7,70022,1,721,240,1,1,8,1000,1,
DD3,Main_Library,1013653,188.75,35.05,180,0,3,7,70022,5,711,240,24,2,6,1000,1,
DD3,Main_Library,1013653,253.25,35.05,180,0,4,7,70022,1,721,240,24,1,8,1000,1,
VT8,Main_Library,1013770,31.575,36.725,0,0,1,6,60021R,2,612,1001,2,1,2,1000,1,
VT9,Main_Library,1013770,31.35,41.775,0,0,1,6,60021R,2,612,1001,8,1,2,1000,1,
VT8,Main_Library,1013770,96.075,36.725,0,0,2,6,60021R,2,612,1001,7,1,2,1000,1,
VT9,Main_Library,1013770,95.85,41.775,0,0,2,6,60021R,2,612,1001,1,1,2,1000,1,
VT8,Main_Library,1013770,160.575,36.725,0,0,3,6,60021R,2,612,1001,3,1,2,1000,1,
VT9,Main_Library,1013770,160.35,41.775,0,0,3,6,60021R,2,612,1001,5,1,2,1000,1,
VT8,Main_Library,1013770,225.075,36.725,0,0,4,6,60021R,2,612,1001,4,1,2,1000,1,
VT9,Main_Library,1013770,224.85,41.775,0,0,4,6,60021R,2,612,1001,6,1,2,1000,1,
D29,Main_Library,1013868,21.475,49.9,0,0,1,6,60019R,3,613,1001,25,1,2,1000,1,
D29,Main_Library,1013868,85.975,49.9,0,0,2,6,60019R,1,611,1001,25,3,1,1000,1,
D29,Main_Library,1013868,150.475,49.9,0,0,3,6,60019R,2,612,1001,25,2,3,1000,1,
D29,Main_Library,1013868,214.975,49.9,0,0,4,6,60019R,1,611,1001,28,1,1,1000,1,
R124,Main_Library,1014034,41.2,86.875,0,0,1,1,10011L,11,113,230,4,2,13,1000,1,
R130,Main_Library,1014034,28,103.9,0,0,1,1,10011L,3,123,230,4,1,10,1000,1,
R90,Main_Library,1014034,40.7,19.175,180,0,1,1,10011L,11,113,230,6,2,16,1000,1,
R96,Main_Library,1014034,60.4,18.375,-90,0,1,1,10011L,3,123,230,6,1,15,1000,1,
R124,Main_Library,1014034,105.7,86.875,0,0,2,1,10011L,11,113,230,5,2,12,1000,1,
R130,Main_Library,1014034,92.5,103.9,0,0,2,1,10011L,3,123,230,5,1,10,1000,1,
R90,Main_Library,1014034,105.2,19.175,180,0,2,1,10011L,11,113,230,7,2,1,1000,1,
R96,Main_Library,1014034,124.9,18.375,-90,0,2,1,10011L,3,123,230,7,1,11,1000,1,
R124,Main_Library,1014034,170.2,86.875,0,0,3,1,10011L,3,123,230,9,1,8,1000,1,
R130,Main_Library,1014034,157,103.9,0,0,3,1,10011L,3,123,230,8,1,14,1000,1,
R90,Main_Library,1014034,169.7,19.175,180,0,3,1,10011L,11,113,230,8,2,9,1000,1,
R96,Main_Library,1014034,189.4,18.375,-90,0,3,1,10011L,10,112,230,10,2,15,1000,1,
R124,Main_Library,1014034,234.7,86.875,0,0,4,1,10011L,2,122,230,11,1,6,1000,1,
R130,Main_Library,1014034,221.5,103.9,0,0,4,1,10011L,11,113,230,9,2,11,1000,1,
R90,Main_Library,1014034,234.2,19.175,180,0,4,1,10011L,10,112,230,11,2,8,1000,1,
R96,Main_Library,1014034,253.9,18.375,-90,0,4,1,10011L,2,122,230,10,1,16,1000,1,
R125,Main_Library,1014035,32.419,91.287,45,0,1,2,20014R,4,224,230,7,1,13,1000,1,
R125,Main_Library,1014035,96.919,91.287,45,0,2,2,20014R,12,214,230,7,2,7,1000,1,
R125,Main_Library,1014035,161.419,91.287,45,0,3,2,20014R,12,214,230,8,2,10,1000,1,
R125,Main_Library,1014035,225.919,91.287,45,0,4,2,20014R,4,224,230,8,1,4,1000,1,
R106,Main_Library,1014036,56.175,23.9,180,0,1,3,30012L,5,325,230,15,1,14,1000,1,
R138,Main_Library,1014036,16.9,79.275,-90,0,1,3,30012L,4,324,230,17,1,15,1000,1,
R20,Main_Library,1014036,35.75,39.428,0,0,1,3,30012L,13,315,230,15,2,10,1000,1,
R3,Main_Library,1014036,64.45,37.004,-90,0,1,3,30012L,12,314,230,17,2,12,1000,1,
R106,Main_Library,1014036,120.675,23.9,180,0,2,3,30012L,13,315,230,12,2,8,1000,1,
R138,Main_Library,1014036,81.4,79.275,-90,0,2,3,30012L,5,325,230,13,1,11,1000,1,
R20,Main_Library,1014036,100.25,39.428,0,0,2,3,30012L,5,325,230,12,1,4,1000,1,
