Part Name,Сумма - MArea
1013653,1
1013770,2
1013868,1
1014034,4
1014035,1
1014036,4
1014038,1
1014040,9
1014043,30
1014044,18
1014047,4
1014049,1
1014055,1
1014057,2
1014065,1
1014071,1
1014072,5
1014082,1
1014085,1
1014127,2
1014130,2
1014133,10
1014156,1
1014235,1
1014237,1
1014238,1
1014239,2
1014240,3
1014242,4
1014243,4
1014244,1
1014249,3
1014250,1
1014252,1
1014253,1
1014254,2
1014255,1
1014256,3
1014258,3
1014267,7
1014271,12
1014272,1
1014274,4
1014276,11
1014277,40
1014278,1
1014279,3
1014280,24
1014282,5
1014283,2
1014285,2
1014301,1
1014439,11
1014441,3
1014442,3
1014475,1
1014529,1
1014591,6
1014786,2
1014812,4
1014823,1
1015105,1
1015193,2
1015215,3
1015217,1
1015614,1
1016253,1
1016286,1
1016369,1
1016402,1
1016520,1
1016837,1
1017069,6
1017116,3
1017564,5
1017992,2
1018263,1
1018606,1
1019161,1
1019751,4
1019953,3
1021646,2
1021685,5
1021805,16
1021831,1
1021834,3
1021852,2
1021931,1
1021997,1
1022792,2
1023271,1
1023471,1
1023476,1
1023491,16
1023494,5
1023903,1
1025469,1
1025684,4
1025849,9
1025850,7
1025943,1
1026403,1
1026406,2
1026661,1
1026782,2
1027841,10
1030159,1
1033625,1
1039375,4
1039376,1
1042753,1
1047907,1
1048305,2
1049310,1
1049594,1
1056373,1
