PRIMARY_PN,SUBSTITUTE_PN
1014280,1040009
1014282,1038704
1014282,1041070
1014283,1039713
1014475,1047323
1016520,1030835
1017069,1052672
1017564,1030872
1017992,1057351
1019161,1042267
1021646,1053972
1021834,1031944
1023471,1014503
1023491,1018816
1023491,1058656
1026406,1014260
1039375,1039984
1014279,1037888
1014278,1040800
1014277,1041778
1014276,1042921
1014274,1031397
1014267,1033214
1014258,1048480
1014258,1041873
1014258,1041864
1014258,1041769
1014254,1041272
1014252,1039967
1014250,1044021
1014250,1041321
1014249,1042922
1014133,1052317
1014130,1056927
1014130,1042263
1014038,1058199
1014036,1016175
1013770,1057965
1013770,1057906
1013770,1057905
1013770,1057903
1056373,1056251
