PART_NO,SUM_PLACE_COUNT
1013867,1040
1013868,1040
1014035,1040
1014040,2080
1014042,1040
1014043,5200
1014044,7280
1014047,1040
1014060,2080
1014069,1040
1014071,3120
1014084,1040
1014133,8654
1014134,2080
1014182,1040
1014246,1040
1014529,4160
1016192,1040
1017042,3120
1017914,1040
1018221,2080
1018224,2080
1018507,1040
1018802,2080
1020997,2080
1023494,2080
1025849,2080
1025850,1040
1026725,2080
1029444,1040
1031397,1040
1039201,2080
1040009,12495
1041777,3120
1041778,5200
1042754,1040
1051408,1040
1052317,1746
1056927,1040
